SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Z Scores
20086-5,3,SL008208,Ras-related protein Rab-11B,RB11B,Q15907,9230,RAB11B,1.312485374
15603-20,3,SL004086,Integrin alpha-2,Integrin alpha-2,P17301,3673,ITGA2,1.311565472
18830-1,3,SL011968,Intelectin-1,Omentin,Q8WWA0,55600,ITLN1,1.31027216
3170-6,1,SL007261,Methionine aminopeptidase 2,AMPM2,P50579,10988,METAP2,1.309226401
18309-18,3,SL007981,"Citrate synthase, mitochondrial",CISY,O75390,1431,CS,1.309005718
7732-45,3,SL018228,Vesicle-associated membrane protein 4,VAMP4,O75379,8674,VAMP4,1.307921454
10454-99,3,SL018290,DnaJ homolog subfamily C member 16,DJC16,Q9Y2G8,23341,DNAJC16,1.306555207
17364-8,3,SL020890,U2 small nuclear ribonucleoprotein B'',RU2B,P08579,6629,SNRPB2,1.302915434
18829-4,3,SL008140,Eukaryotic initiation factor 4A-I,IF4A1,P60842,1973,EIF4A1,1.302712268
18244-1,3,SL008375,Annexin A7,ANXA7,P20073,310,ANXA7,1.302261688
9223-11,3,SL011204,Mesencephalic astrocyte-derived neurotrophic factor,ARMET,P55145,7873,MANF,1.300294826
24273-43,3,SL019757,Thioredoxin domain-containing protein 3,TXND3,Q8N427,51314,NME8,1.299593592
18935-14,3,SL004493,Toll-like receptor 5,TLR5,O60602,7100,TLR5,1.299434778
23376-56,3,SL011158,Actin-related protein 2/3 complex subunit 2,ARPC2,O15144,10109,ARPC2,1.299363153
21717-44,3,SL022281,Ubiquitin-conjugating enzyme E2 Q2,UB2Q2,Q8WVN8,92912,UBE2Q2,1.299218472
25116-11,3,SL023346,Coiled-coil domain-containing protein 9,CCDC9,Q9Y3X0,26093,CCDC9,1.298076383
15539-15,3,SL008760,SLIT and NTRK-like protein 1,SLIK1,Q96PX8,114798,SLITRK1,1.297253224
5225-50,3,SL016550,Casein kinase II 2-alpha:2-beta heterotetramer,CK2-A1:B,P68400|P67870,1457|1460,CSNK2A1|CSNK2B,1.294056375
14203-3,3,SL008375,Annexin A7,ANXA7,P20073,310,ANXA7,1.29352133
8852-10,3,SL018701,SUN domain-containing protein 3,SUN3,Q8TAQ9,256979,SUN3,1.290382086
23705-42,3,SL007138,CTP synthase 1,PYRG1,P17812,1503,CTPS1,1.289676937
13503-19,3,SL007985,PRA1 family protein 3,PRAF3,O75915,10550,ARL6IP5,1.289503306
19263-147,3,SL007081,Eukaryotic translation initiation factor 4E,IF4E,P06730,1977,EIF4E,1.288630633
12854-3,3,SL019943,Transcriptional enhancer factor TEF-5,TEAD3,Q99594,7005,TEAD3,1.287581131
2805-6,2,SL004415,Angiotensin-converting enzyme 2,ACE2,Q9BYF1,59272,ACE2,1.286460966
11105-171,3,SL003650,Alpha-enolase,Alpha enolase,P06733,2023,ENO1,1.286166514
17514-48,3,SL008443,Ras-related protein Rab-21,RAB21,Q9UL25,23011,RAB21,1.286016796
12652-37,3,SL019829,Adenosylhomocysteinase 2,SAHH2,O43865,10768,AHCYL1,1.285566788
11265-8,3,SL005674,Retinal dehydrogenase 1,Retinal dehydrogenase 1,P00352,216,ALDH1A1,1.283909858
11227-31,3,SL019356,Transducin beta-like protein 2,TBL2,Q9Y4P3,26608,TBL2,1.281956921
17794-6,3,SL005762,Phosphomannomutase 2,Phosphomannomutase 2,O15305,5373,PMM2,1.27974515
19274-80,3,SL004593,Alpha-1-syntrophin,Alpha-1-syntrophin,Q13424,6640,SNTA1,1.277533889
20952-15,3,SL022023,Ethylmalonyl-CoA decarboxylase,ECHD1,Q9NTX5,55862,ECHDC1,1.275790664
24475-45,3,SL013297,Sorting nexin-12,SNX12,Q9UMY4,29934,SNX12,1.274807229
8991-115,3,SL025859,Fc receptor-like protein 4:Cytoplasmic domain,FCRL4:CD,Q96PJ5,83417,FCRL4,1.271440711
7208-60,3,SL018111,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C",MGT4C,Q9UBM8,25834,MGAT4C,1.26959739
5201-50,4,SL016554,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",PDE9A,O76083,5152,PDE9A,1.267915704
7128-9,3,SL018087,von Willebrand factor A domain-containing protein 2,VWA2,Q5GFL6,340706,VWA2,1.267701817
25444-29,3,SL023696,"Type I inositol 1,4,5-trisphosphate 5-phosphatase",I5P1,Q14642,3632,INPP5A,1.267348956
12643-4,3,SL011195,Beta-arrestin-1,ARRB1,P49407,408,ARRB1,1.26705144
7660-21,3,SL003646,Tropomyosin alpha-4 chain,Tropomyosin 4,P67936,7171,TPM4,1.266418194
15534-26,3,SL004917,"Malate dehydrogenase, mitochondrial",Malate dehydrogenase 2,P40926,4191,MDH2,1.265146698
12398-15,3,SL019692,Paired box protein Pax-4,PAX4,O43316,,PAX4,1.263816834
25233-2,3,SL023506,Mannose-6-phosphate isomerase,MPI,P34949,4351,MPI,1.263197795
19295-32,3,SL009430,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PP1G,P36873,5501,PPP1CC,1.262668708
15678-71,3,SL009413,Dickkopf-related protein 2,DKK2,Q9UBU2,27123,DKK2,1.256858493
8089-173,3,SL007158,Nuclear receptor subfamily 4 group A member 1,NR4A1,P22736,3164,NR4A1,1.256318132
17728-61,3,SL008404,Charged multivesicular body protein 2a,CHM2A,O43633,27243,CHMP2A,1.255576943
3896-5,2,SL004820,Phosphoglycerate mutase 1,Phosphoglycerate mutase 1,P18669,5223,PGAM1,1.255290269
21897-4,3,SL022740,IL-17/IL-17F,IL-17/ IL-17F,Q16552|Q96PD4,3605|112744,IL17A|IL17F,1.253626459
10088-37,3,SL008014,Adenine phosphoribosyltransferase,APT,P07741,353,APRT,1.252513367
9242-11,3,SL000137,Betacellulin,BTC,P35070,685,BTC,1.252018104
23302-19,3,SL023209,Proline-rich AKT1 substrate 1,AKTS1,Q96B36,84335,AKT1S1,1.249748157
21971-47,3,SL013072,Friend leukemia integration 1 transcription factor,FLI1,Q01543,2313,FLI1,1.247424602
21106-206,3,SL014913,Centrin-1,CETN1,Q12798,1068,CETN1,1.247365922
10977-55,3,SL017252,Unique cartilage matrix-associated protein,UCMA,Q8WVF2,221044,UCMA,1.247011481
23250-3,3,SL023588,Transcription elongation factor A protein-like 4,TCAL4,Q96EI5,79921,TCEAL4,1.246909647
24299-1,3,SL023735,Carcinoembryonic antigen-related cell adhesion molecule 16,CEA16,Q2WEN9,388551,CEACAM16,1.244993691
25043-74,3,SL007297,"Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial",SCOT,P55809,5019,OXCT1,1.241768023
20994-37,3,SL022172,Pleckstrin homology domain-containing family F member 2,PKHF2,Q9H8W4,79666,PLEKHF2,1.240090567
3897-61,1,SL011709,Pyridoxal phosphate phosphatase,PLPP,Q96GD0,57026,PDXP,1.239897205
14711-27,3,SL004438,Cystatin-M,Cystatin M,Q15828,1474,CST6,1.238219576
15491-20,3,SL008437,Endosialin,CD248,Q9HCU0,57124,CD248,1.238159661
17320-19,3,SL013281,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,ADPPT,Q9NRN7,60496,AASDHPPT,1.233856604
3342-76,4,SL010488,Abelson tyrosine-protein kinase 2,ABL2,P42684,27,ABL2,1.231148094
21120-3,3,SL022132,"Mimitin, mitochondrial",MIMIT,Q8N183,91942,NDUFAF2,1.230777661
23554-2,3,SL015145,SH2 domain-containing adapter protein D,SHD,Q96IW2,56961,SHD,1.230384827
2970-60,2,SL000136,Amphiregulin,AREG,P15514,374,AREG,1.229800445
12724-81,3,SL005468,Cold-inducible RNA-binding protein,CIRBP,Q14011,1153,CIRBP,1.228319403
3043-49,2,SL000532,SPARC,ON,P09486,6678,SPARC,1.22808014
4292-5,3,SL011202,Alpha-soluble NSF attachment protein,SNAA,P54920,8775,NAPA,1.227966023
22963-3,3,SL009105,Vesicle-associated membrane protein 2,VAMP2,P63027,6844,VAMP2,1.226922408
12687-2,3,SL008215,"2,4-dienoyl-CoA reductase, mitochondrial",DECR,Q16698,1666,DECR1,1.226912997
9974-8,3,SL007726,Delta-like protein 3,DLL3,Q9NYJ7,10683,DLL3,1.2256661
12766-33,3,SL019872,Probable G-protein coupled receptor 142,GP142,Q7Z601,350383,GPR142,1.225562481
6706-18,3,SL017590,"Alkaline phosphatase, placental-like",PPBN,P10696,251,ALPG,1.224562194
12617-2,3,SL008369,Serine/threonine-protein kinase 24,STK24,Q9Y6E0,8428,STK24,1.223070353
8237-56,3,SL012617,Sclerostin domain-containing protein 1,SOSD1,Q6X4U4,25928,SOSTDC1,1.219264811
2989-17,2,SL001802,Interferon gamma,IFN-g,P01579,3458,IFNG,1.217256236
2278-61,4,SL000592,Metalloproteinase inhibitor 2,TIMP-2,P16035,7077,TIMP2,1.21658135
4126-22,1,SL004511,Bactericidal permeability-increasing protein,BPI,P17213,671,BPI,1.214755134
4306-4,2,SL003655,Transketolase,Transketolase,P29401,7086,TKT,1.214245162
18183-3,3,SL020981,Low density lipoprotein receptor adapter protein 1,ARH,Q5SW96,26119,LDLRAP1,1.213145896
9828-86,3,SL009423,L-lactate dehydrogenase C chain,LDHC,P07864,3948,LDHC,1.211550205
7139-14,3,SL018085,SLIT and NTRK-like protein 4,SLIK4,Q8IW52,139065,SLITRK4,1.210024924
9401-57,3,SL017497,Metalloprotease TIKI1,CB089,Q86V40,129293,TRABD2A,1.20948638
11428-31,3,SL006955,PDZ and LIM domain protein 1,PDLI1,O00151,9124,PDLIM1,1.209459642
3887-90,2,SL010927,Importin subunit beta-1,IMB1,Q14974,3837,KPNB1,1.209449098
5656-53,3,SL012424,Poly(U)-specific endoribonuclease,PP11,P21128,8909,ENDOU,1.209389601
7856-51,3,SL018294,Protein FAM151A,F151A,Q8WW52,338094,FAM151A,1.208242323
6645-53,3,SL005084,Periostin,Periostin,Q15063,10631,POSTN,1.207828096
18950-13,3,SL007124,Ras-related C3 botulinum toxin substrate 2,RAC2,P15153,5880,RAC2,1.206276019
14065-11,3,SL025816,T-cell surface glycoprotein CD5:Cytoplasmic domain,CD5:CD,P06127,921,CD5,1.203848399
10070-22,3,SL016406,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,5336,PLCG2,1.202420435
5360-9,2,SL003722,RAC-beta serine/threonine-protein kinase,PKB beta,P31751,208,AKT2,1.201753653
19586-89,3,SL011389,Ras-related protein Rab-3C,RAB3C,Q96E17,115827,RAB3C,1.200447048
12771-19,3,SL011309,Zinc finger protein 180,ZN180,Q9UJW8,7733,ZNF180,1.199664165
10049-112,3,SL019242,Telomeric repeat-binding factor 1,TERF1,P54274,7013,TERF1,1.199243981
24723-58,3,SL005729,Eukaryotic translation initiation factor 2 subunit 2,eIF-2-beta,P20042,8894,EIF2S2,1.197946384
13588-11,3,SL020193,Annexin A9,ANXA9,O76027,8416,ANXA9,1.197635184
21743-1,3,SL022664,WD repeat-containing protein 48,WDR48,Q8TAF3,57599,WDR48,1.196367729
12395-86,3,SL019677,"Aspartate--tRNA ligase, mitochondrial",SYDM,Q6PI48,55157,DARS2,1.195616821
19194-9,3,SL015828,D-tyrosyl-tRNA(Tyr) deacylase 1,Histidyl-tRNA synthetase-related,Q8TEA8,92675,DTD1,1.194581644
17675-17,3,SL019552,Acyl-coenzyme A thioesterase 13,ACO13,Q9NPJ3,55856,ACOT13,1.194532189
13993-20,3,SL020300,Band 4.1-like protein 1,E41L1,Q9H4G0,2036,EPB41L1,1.193243531
21747-8,3,SL022695,UBE2N (Ubc13)/Uev1a Complex,UBE2N/UB2V1 Complex,P61088|Q13404,7334|387522,UBE2N|UBE2V1,1.192376713
12740-55,3,SL019853,Protein FEV,FEV,Q99581,54738,FEV,1.191639135
6456-17,3,SL012480,Pregnancy-specific beta-1-glycoprotein 6,PSG6,Q00889,5675,PSG6,1.191389909
4979-34,2,SL008178,Dermatopontin,DERM,Q07507,1805,DPT,1.190505228
19163-26,3,SL011278,Leucine-rich repeat-containing protein 59,LRC59,Q96AG4,55379,LRRC59,1.18966543
6257-56,3,SL012800,Cell growth regulator with EF hand domain protein 1,CGRE1,Q99674,10669,CGREF1,1.187487516
7918-114,3,SL005114,Alpha-amylase 1,"Amylase, alpha 1A",P04745,276,AMY1A,1.186247678
13693-5,3,SL012538,Cerebral dopamine neurotrophic factor,ARMEL,Q49AH0,441549,CDNF,1.184653966
21445-40,3,SL006250,Ubiquitin-like protein Nedd8,Neddylin,Q15843,4738,NEDD8,1.184063725
17347-80,3,SL011281,"Axin interactor, dorsalization-associated protein",CA080,Q96BJ3,64853,AIDA,1.183295382
4217-49,3,SL004795,3-hydroxyacyl-CoA dehydrogenase type-2,ERAB,Q99714,3028,HSD17B10,1.183067466
6504-65,3,SL001908,Lysyl oxidase homolog 2,Lysyl oxidase-like protein 2,Q9Y4K0,4017,LOXL2,1.182780161
19297-4,3,SL007111,Glucose-6-phosphate 1-dehydrogenase,G6PD,P11413,2539,G6PD,1.182634192
21430-4,3,SL005008,Cytosolic phospholipase A2 alpha,cPLA2-alpha,P47712,5321,PLA2G4A,1.182057177
19177-7,3,SL011252,MOB kinase activator 1B,MOL1A,Q7L9L4,92597,MOB1B,1.181740765
9842-2,3,SL002723,Catenin beta-1,b-Catenin,P35222,1499,CTNNB1,1.181326813
2877-3,1,SL004306,SUMO-conjugating enzyme UBC9,UBC9,P63279,7329,UBE2I,1.180354715
17150-8,3,SL005698,"10 kDa heat shock protein, mitochondrial",HSP 10,P61604,3336,HSPE1,1.178580603
24635-25,3,SL023301,Trafficking protein particle complex subunit 6A,TPC6A,O75865,79090,TRAPPC6A,1.178324832
15523-9,3,SL008037,Delta-aminolevulinic acid dehydratase,HEM2,P13716,210,ALAD,1.177279065
11273-176,3,SL013030,Glutathione S-transferase theta-2B,GSTT2,P0CG30,653689,GSTT2B,1.176149016
3516-60,2,SL004712,Stromal cell-derived factor 1,SDF-1,P48061,6387,CXCL12,1.174098099
8035-6,3,SL011295,Uncharacterized protein C1orf198,CA198,Q9H425,84886,C1orf198,1.173441435
19333-4,3,SL002756,Heterogeneous nuclear ribonucleoprotein K,hnRNP K,P61978,3190,HNRNPK,1.172229822
13603-7,3,SL020186,Rieske domain-containing protein,RFESD,Q8TAC1,317671,RFESD,1.171467443
13474-40,3,SL011317,Glutathione S-transferase kappa 1,GSTK1,Q9Y2Q3,373156,GSTK1,1.17080608
12376-85,3,SL003762,Cyclin-dependent kinase 4 inhibitor D,p19-INK4d,P55273,1032,CDKN2D,1.170776879
18383-9,3,SL008165,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,Q00688,2287,FKBP3,1.169165917
16805-5,3,SL011405,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,O76074,8654,PDE5A,1.16588963
19377-14,3,SL012399,Noelin-2,NOE2,O95897,93145,OLFM2,1.165176922
25273-80,3,SL004895,Caldesmon,Caldesmon,Q05682,800,CALD1,1.163320681
9261-14,3,SL008414,Ephrin type-B receptor 6,EphB6,O15197,2051,EPHB6,1.16329134
8329-166,3,SL025811,Cadherin-12:Cytoplasmic domain,Cadherin-12:CD,P55289,1010,CDH12,1.162234282
17766-5,3,SL004552,Neutrophil cytosol factor 1,NCF-1,P14598,653361,NCF1,1.16192085
17818-22,3,SL021096,Protein SGT1 homolog,SUGT1,Q9Y2Z0,10910,SUGT1,1.161462097
9864-38,3,SL019155,Tetratricopeptide repeat protein 1,TTC1,Q99614,7265,TTC1,1.160013212
15610-72,3,SL000499,Cytosol aminopeptidase,LAP,P28838,51056,LAP3,1.159264572
12626-6,3,SL019816,Sentrin-specific protease 7,SENP7,Q9BQF6,57337,SENP7,1.159094257
8262-20,3,SL005361,Apolipoprotein D,Apo D,P05090,347,APOD,1.159028874
17370-186,3,SL009448,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",ABHDA,Q9NUJ1,55347,ABHD10,1.157450537
10608-9,3,SL012418,Histatin-1,HIS1,P15515,3346,HTN1,1.155737379
8397-147,3,SL018482,Sulfhydryl oxidase 2,QSOX2,Q6ZRP7,169714,QSOX2,1.155263441
11638-42,3,SL019577,"Beta-1,3-galactosyltransferase 2",B3GT2,O43825,8707,B3GALT2,1.154617776
9826-135,3,SL002513,Bis(5'-adenosyl)-triphosphatase,Fragile histidine triad protein,P49789,2272,FHIT,1.153321779
21661-82,3,SL012674,Dentin matrix protein 4,DMP4,Q8IXL6,56975,FAM20C,1.153198745
19113-66,3,SL009024,SH3 domain-binding glutamic acid-rich-like protein 2,SH3L2,Q9UJC5,83699,SH3BGRL2,1.153160353
17843-30,3,SL016522,Phosphopantothenate--cysteine ligase,PPCS,Q9HAB8,79717,PPCS,1.15312026
6931-10,3,SL018038,Cancer/testis antigen 1,CTAG1A,P78358,246100,CTAG1A,1.153113393
18280-29,3,SL020956,Putative D-tyrosyl-tRNA(Tyr) deacylase 2,DTD2,Q96FN9,112487,DTD2,1.152503942
22392-5,3,SL023036,SERTA domain-containing protein 3,SRTD3,Q9UJW9,29946,SERTAD3,1.152021157
17757-86,3,SL006798,Calcium-binding protein 39,CAB39,Q9Y376,51719,CAB39,1.151944461
19169-88,3,SL007005,Acidic fibroblast growth factor intracellular-binding protein,FIBP,O43427,9158,FIBP,1.151368084
11629-36,3,SL007634,TNF receptor-associated factor 4,TRAF4,Q9BUZ4,9618,TRAF4,1.15086297
23278-13,3,SL005296,"39S ribosomal protein L12, mitochondrial",39S ribosomal protein L12,P52815,6182,MRPL12,1.149317528
9335-28,3,SL017397,Pregnancy-specific beta-1-glycoprotein 9,PSG9,Q00887,5678,PSG9,1.14766856
16872-248,3,SL007013,Maleylacetoacetate isomerase,MAAI,O43708,2954,GSTZ1,1.147300044
24922-19,3,SL011264,NHL repeat-containing protein 2,NHLC2,Q8NBF2,374354,NHLRC2,1.146901055
7831-39,3,SL000566,Retinol-binding protein 4,RBP,P02753,5950,RBP4,1.146571119
9834-62,3,SL007996,Alcohol dehydrogenase 1B,ADH1B,P00325,125,ADH1B,1.146195475
2975-19,2,SL002655,Connective tissue growth factor,CTGF,P29279,1490,CCN2,1.14610896
2658-27,1,SL004639,NT-3 growth factor receptor,TrkC,Q16288,4916,NTRK3,1.145461065
19145-4,3,SL015073,Melanoregulin,MREG,Q8N565,55686,MREG,1.143791575
13622-16,3,SL014961,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,2A5A,Q15172,5525,PPP2R5A,1.14283634
21722-21,3,SL015072,Polypeptide N-acetylgalactosaminyltransferase 4,GALT4,Q8N4A0,100528030,GALNT4,1.14104442
2961-1,2,SL000048,Vitamin K-dependent protein C,Protein C,P04070,5624,PROC,1.140185183
22073-47,3,SL008062,"ATP synthase B chain, mitochondrial",AT5F1,P24539,515,ATP5PB,1.139979538
11546-7,3,SL007558,Cytoglobin,CYGB,Q8WWM9,114757,CYGB,1.139872012
5716-49,3,SL017101,Putative chondrosarcoma-associated gene 1 protein,CSAG1,Q6PB30,158511,CSAG1,1.139608329
23584-2,3,SL023535,Nucleotide triphosphate diphosphatase NUDT15,NUD15,Q9NV35,55270,NUDT15,1.138337165
21383-37,3,SL013111,"Asparaginyl-tRNA synthetase, cytoplasmic",SYNC,O43776,4677,NARS1,1.13796662
12361-102,3,SL008513,Ras-related protein R-Ras2,RRAS2,P62070,22800,RRAS2,1.136701988
7085-81,3,SL011989,Corneodesmosin,CDSN,Q15517,1041,CDSN,1.136602372
12641-3,3,SL019813,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",I5P2,P32019,3633,INPP5B,1.136537759
9568-289,3,SL012746,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,FCAMR,Q8WWV6,83953,FCAMR,1.135587023
17450-51,3,SL006248,"Histidine--tRNA ligase, cytoplasmic",Histidyl-tRNA synthetase,P12081,3035,HARS1,1.135284173
3232-28,2,SL004118,Tartrate-resistant acid phosphatase type 5,TrATPase,P13686,54,ACP5,1.134365045
9929-16,3,SL025830,3-keto-steroid reductase:Extracellular domain (partial),DHB7:ECD,P56937,51478,HSD17B7,1.133832695
3844-2,1,SL004823,Peptidyl-prolyl cis-trans isomerase A,Cyclophilin A,P62937,5478,PPIA,1.133192257
10704-91,3,SL018605,Lymphoid-restricted membrane protein,LRMP,Q12912,4033,IRAG2,1.133115501
25085-37,3,SL020137,Tether containing UBX domain for GLUT4,ASPC1,Q9BZE9,79058,ASPSCR1,1.132817627
14088-38,3,SL005172,Insulin-like growth factor-binding protein 6,IGFBP-6,P24592,3489,IGFBP6,1.132163732
5888-29,3,SL005687,Eukaryotic translation initiation factor 5A-1,eIF-5A-1,P63241,1984,EIF5A,1.13215149
15465-79,3,SL012684,Protein canopy homolog 4,CNPY4,Q8N129,245812,CNPY4,1.129836188
23314-46,3,SL023502,Coiled-coil domain-containing protein 103,CC103,Q8IW40,388389,CCDC103,1.129076234
3376-49,2,SL010613,Interleukin-17 receptor D,IL-17 RD,Q8NFM7,54756,IL17RD,1.129053611
8390-25,3,SL018487,"Cytochrome c oxidase subunit 7A1, mitochondrial",CX7A1,P24310,1346,COX7A1,1.128807289
25061-8,3,SL023618,Engulfment and cell motility protein 2,ELMO2,Q96JJ3,63916,ELMO2,1.127640268
17427-26,3,SL018773,Neuroligin-3,NLGN3,Q9NZ94,54413,NLGN3,1.126655829
16055-3,3,SL006830,Complement factor H-related protein 5,complement factor H-related 5,Q9BXR6,81494,CFHR5,1.125164502
3636-37,4,SL007327,Oxidized low-density lipoprotein receptor 1,OLR1,P78380,4973,OLR1,1.124923969
12462-20,3,SL019733,Histone-lysine N-methyltransferase SETMAR,SETMR,Q53H47,6419,SETMAR,1.124823717
2986-49,2,SL003175,Gro-gamma,Gro-g,P19876,2921,CXCL3,1.123950258
23350-66,3,SL023316,Protein FAM118B,F118B,Q9BPY3,79607,FAM118B,1.122464553
6609-22,3,SL008878,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CN37,P09543,1267,CNP,1.120181754
20943-14,3,SL022127,N-alpha-acetyltransferase 50,NAA50,Q9GZZ1,80218,NAA50,1.117147683
12449-16,3,SL012991,Peptidyl-prolyl cis-trans isomerase H,PPIH,O43447,10465,PPIH,1.116881445
4915-64,2,SL000836,Hemoglobin,Hemoglobin,P69905|P68871,3039|3043,HBA1|HBB,1.11637175
18186-15,3,SL013024,"Threonine--tRNA ligase, cytoplasmic",SYTC,P26639,6897,TARS1,1.115051968
11368-32,3,SL008133,"Adenylate kinase 2, mitochondrial",KAD2,P54819,204,AK2,1.113986574
13101-60,3,SL007631,Sclerostin,SOST,Q9BQB4,50964,SOST,1.112745313
7628-40,3,SL012774,Cysteine-rich with EGF-like domain protein 1,CREL1,Q96HD1,78987,CRELD1,1.112674336
17676-13,3,SL011229,Cdc42-interacting protein 4,CIP4,Q15642,9322,TRIP10,1.111503574
3329-14,2,SL004515,Peptidoglycan recognition protein 1,PGRP-S,O75594,8993,PGLYRP1,1.108213901
5691-2,3,SL008669,Cysteine-rich secretory protein LCCL domain-containing 2,CRLD2,Q9H0B8,83716,CRISPLD2,1.108031936
10505-12,3,SL018629,E3 ubiquitin-protein ligase RNF43,RNF43,Q68DV7,54894,RNF43,1.107722804
9941-70,3,SL018623,Protocadherin beta-1,PCDB1,Q9Y5F3,29930,PCDHB1,1.107612618
19131-184,3,SL014895,Nucleolysin TIAR,TIAR,Q01085,7073,TIAL1,1.107560069
25039-10,3,SL015309,Kelch-like protein 3,KLHL3,Q9UH77,26249,KLHL3,1.107002967
24414-3,3,SL004729,"Glycogen phosphorylase, brain form",Glycogen phosphorylase,P11216,5834,PYGB,1.106813811
12860-7,3,SL006617,cAMP-regulated phosphoprotein 21,cAMP-regulated phosphoprotein 21,Q9UBL0,10777,ARPP21,1.105997487
19797-4,3,SL007580,Histone acetyltransferase KAT2A,GCNL2,Q92830,2648,KAT2A,1.105299733
13680-3,3,SL020216,NGFI-A-binding protein 2,NAB2,Q15742,4665,NAB2,1.103246083
2590-69,4,SL006114,Inactive tyrosine-protein kinase transmembrane receptor ROR1,ROR1,Q01973,4919,ROR1,1.101271759
12466-7,3,SL008019,Heterogeneous nuclear ribonucleoprotein A1,ROA1,P09651,3178,HNRNPA1,1.10117029
19230-12,3,SL013768,Glutathione S-transferase theta-1,GSTT1,P30711,2952,GSTT1,1.100645049
6247-9,3,SL008942,Signal-regulatory protein beta-1,SIRB1,O00241,10326,SIRPB1,1.10001516
7832-181,3,SL003524,Protein disulfide-isomerase A3,Protein disulfide isomerase A3,P30101,2923,PDIA3,1.09942609
9394-19,3,SL005492,Carboxypeptidase Q,Aminopeptidase,Q9Y646,10404,CPQ,1.098444713
6467-65,3,SL012705,Protein O-glucosyltransferase 1,KTEL1,Q8NBL1,56983,POGLUT1,1.09681742
20923-10,3,SL022102,Magnesium-dependent phosphatase 1,MGDP1,Q86V88,145553,MDP1,1.094356076
23663-28,3,SL008447,Vacuolar ATP synthase subunit C 1,VATC1,P21283,528,ATP6V1C1,1.094224965
17726-3,3,SL016526,GTP-binding protein SAR1a,SAR1A,Q9NR31,56681,SAR1A,1.094071869
9484-75,3,SL004857,Desmoglein-2,Desmoglein-2,Q14126,1829,DSG2,1.093009126
6227-1,3,SL003923,Kallikrein-10,kallikrein 10,O43240,5655,KLK10,1.092912364
14105-5,3,SL004876,Kallistatin,Kallistatin,P29622,5267,SERPINA4,1.092849409
11830-48,3,SL010616,Tyrosine-protein phosphatase non-receptor type 11,SHP-2,Q06124,5781,PTPN11,1.092195037
19134-66,3,SL014837,"DNA-directed RNA polymerases I, II, and III subunit RPABC4",RPAB4,P53803,5440,POLR2K,1.092008012
19438-68,3,SL021097,Pre-mRNA-splicing factor SYF2,SYF2,O95926,25949,SYF2,1.091289296
18875-125,3,SL021010,Chondrocalcin,Chondrocalcin,P02458,1280,COL2A1,1.091022851
4209-60,2,SL004757,Vacuolar protein sorting-associated protein VTA1 homolog,DRG-1,Q9NP79,51534,VTA1,1.089304512
24259-24,3,SL023497,Forkhead box protein P4,FOXP4,Q8IVH2,116113,FOXP4,1.08886662
8983-7,3,SL010628,Golgi membrane protein 1,GOLM1,Q8NBJ4,51280,GOLM1,1.088142414
14614-41,3,SL008890,Noncompact myelin-associated protein,CA130,Q5T1S8,400746,NCMAP,1.086684883
17789-1,3,SL008944,Nicotinate-nucleotide pyrophosphorylase [carboxylating],NADC,Q15274,23475,QPRT,1.086018854
5488-74,3,SL010516,Proto-oncogene tyrosine-protein kinase Src isoform 2,SRCN1,P12931,6714,SRC,1.084997108
23544-10,3,SL023523,T-complex protein 10A homolog,TCP10,Q12799,6953,TCP10L3,1.084774469
5980-55,3,SL017272,BolA-like protein 3,BOLA3,Q53S33,388962,BOLA3,1.083699626
23915-18,3,SL004603,Ras-related protein Rab-7,Rab-7,P51149,7879,RAB7A,1.083336736
7175-4,3,SL018114,Protocadherin gamma-A2,PCDG2,Q9Y5H1,56113,PCDHGA2,1.08311896
9263-57,3,SL008488,Sialate O-acetylesterase,SIAE,Q9HAT2,54414,SIAE,1.08281243
18373-13,3,SL005848,Radixin,Radixin,P35241,5962,RDX,1.081666395
17849-6,3,SL021009,Developmentally-regulated GTP-binding protein 1,DRG1,Q9Y295,4733,DRG1,1.080982931
8644-46,3,SL000346,Cathepsin H,Cathepsin H,P09668,1512,CTSH,1.080438164
21915-2,3,SL022654,OTU domain-containing protein 3,OTUD3,Q5T2D3,23252,OTUD3,1.080292847
17697-2,3,SL021016,Esterase OVCA2,OVCA2,Q8WZ82,124641,OVCA2,1.080048991
20378-110,3,SL022095,Leucine zipper transcription factor-like protein 1,LZTL1,Q9NQ48,54585,LZTFL1,1.079889829
